room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6331366,820336,Entire home/apt,,CEDAR_PARK,0,,6,3.0,750.0,1.0,39.949706,-75.217725,2016-08-17 16:12:21.239930
4135761,6298699,Private room,,GRADUATE_HOSPITAL,66,5.0,2,1.0,60.0,2.0,39.940837,-75.175238,2016-08-17 16:12:18.913114
7853976,41387340,Entire home/apt,,SOCIETY_HILL,0,,6,2.0,1000.0,4.0,39.943923,-75.154394,2016-08-17 16:11:59.470816
7009597,12342474,Private room,,FISHTOWN,2,,2,1.0,90.0,1.0,39.978858,-75.128264,2016-08-17 16:11:55.915817
14341438,42797112,Private room,,SPRUCE_HILL,0,,2,1.0,56.0,1.0,39.954364,-75.210461,2016-08-17 16:11:29.817172
8210745,42419103,Entire home/apt,,GERMANY_HILL,0,,6,3.0,300.0,1.0,40.036376,-75.233151,2016-08-17 16:11:28.716471
13417146,42618230,Private room,,GARDEN_COURT,10,5.0,1,1.0,45.0,1.0,39.952124,-75.216177,2016-08-17 16:11:23.326353
2874527,14692389,Private room,,POWELTON,260,4.5,2,1.0,65.0,1.0,39.961876,-75.188241,2016-08-17 16:11:16.635013
7286589,38157639,Entire home/apt,,WASHINGTON_SQUARE,0,,4,2.0,1000.0,1.0,39.945895,-75.162234,2016-08-17 16:11:09.519345
7226938,37835999,Entire home/apt,,LOGAN_SQUARE,0,,5,2.0,1000.0,1.0,39.960894,-75.166999,2016-08-17 16:11:03.957305
8648189,45456664,Private room,,GERMANTOWN_PENN_KNOX,0,,2,1.0,40.0,1.0,40.028792,-75.170327,2016-08-17 16:11:01.453247
13959395,36980589,Private room,,WISSAHICKON,2,,2,1.0,60.0,1.0,40.019958,-75.209224,2016-08-17 16:10:56.570991
6572234,12880235,Entire home/apt,,ROXBOROUGH,1,,5,3.0,100.0,1.0,40.032726,-75.208386,2016-08-17 16:10:49.307042
12106370,40490199,Entire home/apt,,RITTENHOUSE,11,4.5,3,1.0,100.0,4.0,39.951263,-75.166815,2016-08-17 16:10:42.590666
8341655,43969003,Private room,,MANAYUNK,0,,2,1.0,150.0,1.0,40.024592,-75.216029,2016-08-17 16:10:39.423343
5396032,27898589,Private room,,MOUNT_AIRY_EAST,80,5.0,1,1.0,38.0,2.0,40.059327,-75.180853,2016-08-17 16:10:32.670443
8009379,30976561,Entire home/apt,,GRADUATE_HOSPITAL,0,,3,1.0,75.0,1.0,39.94257,-75.171696,2016-08-17 16:10:30.098844
7698365,10622696,Entire home/apt,,RITTENHOUSE,0,,4,1.0,500.0,2.0,39.948032,-75.168148,2016-08-17 16:10:27.032901
8045359,33928402,Entire home/apt,,DICKINSON_NARROWS,0,,4,2.0,385.0,1.0,39.928599,-75.156784,2016-08-17 16:10:21.619754
765709,4037724,Entire home/apt,,MANAYUNK,7,4.0,3,1.0,200.0,1.0,40.027864,-75.221124,2016-08-17 16:10:12.019618
13377175,5734541,Entire home/apt,,RITTENHOUSE,4,5.0,3,1.0,85.0,3.0,39.946518,-75.169562,2016-08-17 16:10:09.507207
8537976,44949953,Entire home/apt,,QUEEN_VILLAGE,0,,3,1.0,250.0,1.0,39.940427,-75.14703,2016-08-17 16:10:06.633452
7369308,20269454,Entire home/apt,,ROXBOROUGH,0,,8,3.0,800.0,1.0,40.020536,-75.211846,2016-08-17 16:10:04.031224
14066166,28589674,Private room,,EAST_POPLAR,1,,2,1.0,125.0,2.0,39.964214,-75.151203,2016-08-17 16:09:55.363902
7678209,24317061,Entire home/apt,,RITTENHOUSE,0,,3,1.0,595.0,1.0,39.947285,-75.172735,2016-08-17 16:09:43.177241
7648360,26431975,Entire home/apt,,WASHINGTON_SQUARE,0,,4,1.0,990.0,1.0,39.944093,-75.163992,2016-08-17 16:09:39.829824
6588755,30009820,Entire home/apt,,POINT_BREEZE,6,5.0,4,2.0,200.0,1.0,39.933168,-75.176139,2016-08-17 16:09:34.791192
11893141,63427307,Entire home/apt,,RITTENHOUSE,11,5.0,8,3.0,300.0,2.0,39.948031,-75.171033,2016-08-17 16:09:29.909132
7562242,39643526,Private room,,CALLOWHILL,0,,2,1.0,500.0,1.0,39.961161,-75.159992,2016-08-17 16:09:27.767517
7982097,9242516,Entire home/apt,,DICKINSON_NARROWS,0,,4,2.0,270.0,1.0,39.926125,-75.155165,2016-08-17 16:09:14.355555
14063845,32915146,Private room,,HOLMESBURG,1,,2,1.0,80.0,1.0,40.033798,-75.035828,2016-08-17 16:09:13.201619
2150950,820070,Shared room,,GRADUATE_HOSPITAL,18,5.0,2,1.0,100.0,1.0,39.942309,-75.178023,2016-08-17 16:09:09.539845
13813001,81315000,Entire home/apt,,SOCIETY_HILL,2,,2,0.0,100.0,4.0,39.944093,-75.152249,2016-08-17 16:09:04.676232
663368,2772545,Private room,,GERMANTOWN_MORTON,52,5.0,1,1.0,50.0,1.0,40.038606,-75.17705,2016-08-17 16:09:03.966726
5773605,7422506,Entire home/apt,,GRADUATE_HOSPITAL,0,,6,3.0,1150.0,3.0,39.944352,-75.17767,2016-08-17 16:08:54.207363
8028434,42390626,Entire home/apt,,WHITMAN,0,,5,2.0,500.0,2.0,39.920732,-75.152383,2016-08-17 16:08:44.172849
6935848,32012769,Entire home/apt,,POINT_BREEZE,88,4.5,4,0.0,80.0,1.0,39.934646,-75.16893,2016-08-17 16:08:42.468199
14197591,73628774,Private room,,OLNEY,3,4.5,3,1.0,29.0,1.0,40.036228,-75.113666,2016-08-17 16:08:23.157520
6576929,34402813,Entire home/apt,,ROXBOROUGH,0,,4,3.0,800.0,1.0,40.024409,-75.213254,2016-08-17 16:08:19.117421
6958799,31437367,Private room,,DICKINSON_NARROWS,0,,4,1.0,1850.0,1.0,39.933031,-75.154057,2016-08-17 16:08:13.186894
